Entry ID,Source Organism,Accession Code(s)
1A02,,
,Homo sapiens,Q13469
,Homo sapiens,P01100
,Homo sapiens,P05412
1A1M,Homo sapiens,P01889
,Homo sapiens,P61769
,Human immunodeficiency virus 2,
1A1N,Homo sapiens,P01889
,Homo sapiens,P61769
,Human immunodeficiency virus 1,
1A1O,Homo sapiens,P01889
,Homo sapiens,P61769
,Human immunodeficiency virus 1,
1A2C,Homo sapiens,P00734
,Homo sapiens,P00734
,Hirudo medicinalis,P09945
,Microcystis aeruginosa,
1A3B,Homo sapiens,P00734
,Homo sapiens,P00734
,Hirudo medicinalis,P28504
1A3E,Homo sapiens,P00734
,Homo sapiens,P00734
,Hirudo medicinalis,P28504
1A46,Homo sapiens,P00734
,Homo sapiens,P00734
,Hirudo medicinalis,P09945
1A4W,Homo sapiens,P00734
,Homo sapiens,P00734
,,P09945
1A5G,Homo sapiens,P00734
,Homo sapiens,P00734
,Hirudo medicinalis,P09945
1A61,Homo sapiens,P00734
,Homo sapiens,P00734
,,P09945
1A6A,Homo sapiens,P01903
,Homo sapiens,P01911
,Homo sapiens,P04233
1A9B,Homo sapiens,P01889
,Homo sapiens,P61769
1A9E,Homo sapiens,P01889
,Homo sapiens,P61769
1ABI,Homo sapiens,P00734
,Homo sapiens,P00734
,Hirudo medicinalis,P28504
1AD8,Homo sapiens,P00734
,Homo sapiens,P00734
,Hirudo medicinalis,P01050
1ADQ,Homo sapiens,P01861
,Homo sapiens,
,Homo sapiens,
1AE8,Homo sapiens,P00734
,Homo sapiens,P00734
,Hirudo medicinalis,P01050
1AFE,Homo sapiens,P00734
,Homo sapiens,P00734
,Hirudo medicinalis,P01050
1AGB,Homo sapiens,P01889
,Homo sapiens,P61769
,Human immunodeficiency virus 1,
1AGC,Homo sapiens,P01889
,Homo sapiens,P61769
,Human immunodeficiency virus 1,
1AGD,Homo sapiens,P01889
,Homo sapiens,P61769
,Human immunodeficiency virus 1,
1AGE,Homo sapiens,P01889
,Homo sapiens,P61769
,Human immunodeficiency virus 1,
1AGF,Homo sapiens,P01889
,Homo sapiens,P61769
,Human immunodeficiency virus 1,
1AHT,Homo sapiens,P00734
,Homo sapiens,P00734
,,P01050
1AHW,Mus musculus,P01837
,Mus musculus,X5J519
,Homo sapiens,P13726
1AI8,Homo sapiens,P00734
,Homo sapiens,P00734
,Hirudo medicinalis,P01050
1AIX,Homo sapiens,P00734
,Homo sapiens,P00734
,Hirudo medicinalis,P28507
1AKJ,Homo sapiens,P04439
,Homo sapiens,P61769
,Human immunodeficiency virus,
,Homo sapiens,P01732
1AO7,Homo sapiens,P04439
,Homo sapiens,P61769
,Human T-cell leukemia virus type I,P14079
,Homo sapiens,"A0A075B6T6, P01848"
,Homo sapiens,"A0A0K0K1A5, A0A5B9"
1AQD,Homo sapiens,P01903
,Homo sapiens,P01911
,Homo sapiens,P04439
1AWF,Homo sapiens,P00734
,Homo sapiens,P00734
,Hirudo medicinalis,P01050
1AY6,Homo sapiens,P00734
,Homo sapiens,P00734
,Hirudo medicinalis,P01050
1B0G,Homo sapiens,P04439
,Homo sapiens,P61769
,,Q9NPA0
1B0R,Homo sapiens,P04439
,Homo sapiens,P61769
1B5G,Homo sapiens,P00734
,Homo sapiens,P00734
,Hirudo medicinalis,P09945
1B7X,Homo sapiens,P00734
,Homo sapiens,P00734
,Homo sapiens,
1BA8,Homo sapiens,P00734
,Homo sapiens,P00734
,Hirudo medicinalis,P01050
1BB0,Homo sapiens,P00734
,Homo sapiens,P00734
,Hirudo medicinalis,P01050
1BBR,Bos taurus,P00735
,Bos taurus,P00735
,Bos taurus,P00735
,Homo sapiens,P02671
,Bos taurus,P00735
1BCU,Homo sapiens,P00734
,Homo sapiens,P00734
,Hirudo medicinalis,P01050
1BD2,Homo sapiens,P04439
,Homo sapiens,P61769
,Human T-cell leukemia virus type I,P14079
,Homo sapiens,"P04437, P01848"
,Homo sapiens,"A0A0K0K1A5, A0A5B9"
1BHX,Homo sapiens,P00734
,Homo sapiens,P00734
,Homo sapiens,P00734
,Homo sapiens,
1BJ1,Mus musculus,
,Mus musculus,
,Homo sapiens,P15692
1BKC,Homo sapiens,P78536
,Homo sapiens,P78536
,Homo sapiens,P78536
1BMM,Homo sapiens,P00734
,Homo sapiens,P00734
,Hirudo medicinalis,P01050
1BMN,Homo sapiens,P00734
,Homo sapiens,P00734
,Hirudo medicinalis,P01050
1BVK,Homo sapiens,S21680
,Homo sapiens,S21681
,Gallus gallus,P00698
1BX2,Homo sapiens,P01903
,Homo sapiens,P01911
,Homo sapiens,P02686
1C1U,Homo sapiens,P00734
,Homo sapiens,P00734
,Hirudo medicinalis,P28504
1C1V,Homo sapiens,P00734
,Homo sapiens,P00734
,Hirudo medicinalis,P28504
1C1W,Homo sapiens,P00734
,Homo sapiens,P00734
,Hirudo medicinalis,P28504
1C4U,Homo sapiens,P00734
,Homo sapiens,P00734
,,P28504
1C4V,Homo sapiens,P00734
,Homo sapiens,P00734
1C4Y,Homo sapiens,P00734
,Homo sapiens,P00734
1C5L,Homo sapiens,P00734
,Homo sapiens,P00734
,Hirudo medicinalis,P01050
1C5N,Homo sapiens,P00734
,Homo sapiens,P00734
,Hirudo medicinalis,P28504
1C5O,Homo sapiens,P00734
,Homo sapiens,P00734
,Hirudo medicinalis,P28504
1CA0,Bos taurus,P00766
,Bos taurus,P00766
,Bos taurus,P00766
,Homo sapiens,P05067
1CA8,Homo sapiens,P00734
,Homo sapiens,P00734
,Hirudo medicinalis,P01050
1CE1,Homo sapiens,243868
,Homo sapiens,Q6PYX1
1CE6,Mus musculus,P01899
,Homo sapiens,P61769
,,P04858
1CG9,Homo sapiens,P01889
,Homo sapiens,P61769
,,P03204
1CZ8,Homo sapiens,P15692
,Mus musculus,
,Mus musculus,
1D3D,Homo sapiens,P00734
,Homo sapiens,P00734
,Hirudo medicinalis,P01050
1D3E,Homo sapiens,P05362
,Human rhinovirus sp.,Q82122
,Human rhinovirus sp.,Q82122
,Human rhinovirus sp.,Q82122
,Human rhinovirus sp.,Q82122
1D3I,Homo sapiens,P05362
,Human rhinovirus sp.,P03303
,Human rhinovirus sp.,P03303
,Human rhinovirus sp.,P03303
,Human rhinovirus sp.,P03303
1D3P,Homo sapiens,P00734
,Homo sapiens,P00734
,Hirudo medicinalis,P01050
1D3Q,Homo sapiens,P00734
,Homo sapiens,P00734
,Hirudo medicinalis,P01050
1D3T,Homo sapiens,P00734
,Homo sapiens,P00734
,Hirudo medicinalis,P01050
1D4P,Homo sapiens,P00734
,Homo sapiens,P00734
,Hirudo medicinalis,P01050
1D5M,Homo sapiens,P01903
,Homo sapiens,P01911
,Staphylococcus aureus,P01552
,synthetic construct,
1D5X,Homo sapiens,P01903
,Homo sapiens,P01911
,Staphylococcus aureus,P01552
1D5Z,Homo sapiens,P01903
,Homo sapiens,P01911
,Staphylococcus aureus,P01552
1D6E,Homo sapiens,P01903
,Homo sapiens,P01911
,Staphylococcus aureus,P01552
1DAN,Homo sapiens,P08709
,Homo sapiens,P08709
,Homo sapiens,P13726
,Homo sapiens,P13726
1DE4,Homo sapiens,Q30201
,Homo sapiens,P61769
,Homo sapiens,P02786
1DE7,Homo sapiens,P00734
,Homo sapiens,P00734
1DEE,Homo sapiens,
,Homo sapiens,
,Staphylococcus aureus,P02976
1DGI,Homo sapiens,P15151
,Poliovirus 1,P03300
,Poliovirus 1,P03300
,Poliovirus 1,P03300
,Poliovirus 1,P03300
1DIT,Homo sapiens,P00734
,Homo sapiens,P00734
1DLH,Homo sapiens,P01903
,Homo sapiens,P01911
,,P04664
1DM4,Homo sapiens,P00734
,Homo sapiens,P00734
,,P02671
1DUY,Homo sapiens,P04439
,Homo sapiens,P61769
1DUZ,Homo sapiens,P04439
